product_id,product_name,category,quantity,size,supplier,unit_price,approved_status
1,"Recycled Glass Jewelry Set",Accessories,3,Various,"Urban Craft Co.",35.50,Approved
2,"Macrame Wall Hanging","Home Decor",1,"3 ft","Etsy Seller",42.15,Pending
3,"Hand-Forged Iron Candle Holder","Home Decor",2,Small,"Blacksmith Workshop",28.70,Rejected
4,"Leather-Bound Journal",Stationery,3,Medium,"Leather Artisan",25.30,Approved
5,"Hand-Embroidered Cushion Covers","Home Decor",4,"20x20"","Village Cooperative",50.85,Pending
6,"Woven Basket","Home Decor",1,Large,"Indigenous Community",30.20,Rejected
7,"Hand-Turned Wooden Pen",Stationery,5,Various,Woodworker,18.95,Approved
8,"Copper Tea Kettle",Kitchen,1,"2 L","Metal Craftsman",85.10,Pending
9,"Hand-Painted Silk Scarf",Accessories,2,Square,"Silk Painter",70.45,Rejected
10,"Rattan Furniture Set",Outdoors,1,"2 Chairs & Table","Rattan Weavers",120.00,Approved
11,"Handmade Soap","Personal Care",10,"Various Scents","Soap Maker",15.60,Pending
12,"Hand-Woven Rug","Home Decor",1,"8x10 ft","Rug Weavers",180.50,Rejected
13,"Terracotta Flower Pots","Home Decor",6,Small,Potter,20.15,Approved
14,"Hand-Carved Wooden Mask","Decorative Art",1,"Tribal Style","Wood Carver",80.70,Pending
15,"Bamboo Flute","Musical Instruments",1,Traditional,"Bamboo Craftsman",45.25,Rejected
16,"Hand-Dyed Fabric",Textiles,5,"Various Colors","Natural Dyes Workshop",35.90,Approved
17,"Pressed Flower Greeting Cards",Stationery,10,Assorted,"Flower Presser",12.30,Pending
18,"Hand-Painted Porcelain Teacup & Saucer Set",Tableware,2,Floral,"Ceramic Artist",55.65,Rejected
19,"Recycled Tire Swing",Outdoors,1,"Adult Size","Upcycled Crafts",60.10,Approved
20,"Hand-Knitted Baby Blanket",Baby,1,"Soft Wool","Knitting Circle",40.45,Pending
21,"Hand-Painted Wooden Toys",Toys,3,Animals,"Wood Toy Maker",25.70,Rejected
22,"Dried Flower Arrangement","Home Decor",1,Large,Florist,38.00,Approved
23,"Hand-Forged Iron Fire Poker",Fireplace,1,Decorative,Blacksmith,45.35,Pending
24,"Leather-Crafted Belt",Accessories,2,Hand-Tooled,Leatherworker,55.60,Rejected
25,"Hand-Embroidered Wall Art","Home Decor",1,"Large Floral","Embroidery Artist",75.15,Approved
26,"Recycled Glass Bottles","Decorative Art",6,"Various Shapes","Glass Recyclers",22.80,Pending
27,"Macrame Plant Hanger","Home Decor",3,Small,"Macrame Artist",28.45,Rejected
28,"Hand-Carved Wooden Chess Set",Games,1,Intricate,"Wood Carver",120.20,Approved
29,"Woolen Knitted Hat",Accessories,4,Winter,"Knitting Workshop",30.00,Pending
30,"Hand-Painted Ceramic Tiles","Home Decor",10,Decorative,"Tile Maker",18.55,Rejected
31,"Rattan Chair",Furniture,1,Single,"Rattan Weaver",80.70,Approved
32,"Handmade Soap","Personal Care",10,Lavender,"Soap Maker",15.10,Pending
33,"Hand-Woven Rug Runner","Home Decor",1,"Hallway Size","Rug Weaver",75.25,Rejected
34,"Terracotta Flower Pots","Home Decor",6,Medium,Potter,25.40,Approved
35,"Hand-Carved Wooden Spoon",Kitchen,5,"Various Sizes","Wood Carver",12.65,Pending
36,"Bamboo Bird Feeder",Outdoors,1,Hanging,"Bamboo Craftsman",20.30,Rejected
37,"Hand-Dyed Fabric",Textiles,5,Indigo,"Natural Dyes Workshop",38.15,Approved
38,"Pressed Flower Bookmarks",Stationery,15,Assorted,"Flower Presser",8.20,Pending
39,"Hand-Painted Porcelain Teapot",Tableware,1,Floral,"Ceramic Artist",65.00,Rejected
40,"Recycled Tire Planter",Outdoors,2,Large,"Upcycled Crafts",40.85,Approved
41,"Hand-Knitted Baby Booties",Baby,5,"Soft Yarn","Knitting Circle",15.50,Pending
42,"Hand-Painted Wooden Toys",Toys,3,Cars,"Wood Toy Maker",28.25,Rejected
43,"Dried Flower Bouquet","Home Decor",1,Medium,Florist,32.10,Approved
44,"Hand-Forged Iron Fireplace Tools",Fireplace,1,"Set of 3",Blacksmith,90.45,Pending
45,"Leather-Crafted Wallet",Accessories,1,Hand-Tooled,Leatherworker,60.70,Rejected
46,"Hand-Embroidered Tablecloth","Home Decor",1,Round,"Embroidery Artist",150.35,Approved
47,"Recycled Glass Bowls","Home Decor",4,"Various Sizes","Glass Recyclers",35.00,Pending
48,"Macrame Dream Catcher","Home Decor",1,Large,"Macrame Artist",48.60,Rejected
49,"Hand-Carved Wooden Chess Pieces",Games,1,Intricate,"Wood Carver",85.85,Approved
50,"Woolen Knitted Gloves",Accessories,3,Winter,"Knitting Workshop",25.20,Pending
51,"Hand-Painted Ceramic Wall Plaques","Home Decor",3,Decorative,"Tile Maker",22.00,Rejected
52,"Rattan Chair",Furniture,1,Single,"Rattan Weaver",80.00,Approved
53,"Handmade Soap","Personal Care",10,Lavender,"Soap Maker",15.00,Pending
54,"Hand-Woven Rug Runner","Home Decor",1,"Hallway Size","Rug Weaver",75.00,Rejected
55,"Terracotta Flower Pots","Home Decor",6,Medium,Potter,25.00,Approved
56,"Hand-Carved Wooden Spoon",Kitchen,5,"Various Sizes","Wood Carver",12.00,Pending
57,"Bamboo Bird Feeder",Outdoors,1,Hanging,"Bamboo Craftsman",20.00,Rejected
58,"Hand-Dyed Fabric",Textiles,5,Indigo,"Natural Dyes Workshop",38.00,Approved
59,"Pressed Flower Bookmarks",Stationery,15,Assorted,"Flower Presser",8.00,Pending
60,"Hand-Painted Porcelain Teapot",Tableware,1,Floral,"Ceramic Artist",65.00,Rejected
61,"Recycled Tire Planter",Outdoors,2,Large,"Upcycled Crafts",40.00,Approved
62,"Hand-Knitted Baby Booties",Baby,5,"Soft Yarn","Knitting Circle",15.00,Pending
63,"Hand-Painted Wooden Toys",Toys,3,Cars,"Wood Toy Maker",28.00,Rejected
64,"Dried Flower Bouquet","Home Decor",1,Medium,Florist,32.00,Approved
65,"Hand-Forged Iron Fireplace Tools",Fireplace,1,"Set of 3",Blacksmith,90.00,Pending
66,"Leather-Crafted Wallet",Accessories,1,Hand-Tooled,Leatherworker,60.00,Rejected
67,"Hand-Embroidered Tablecloth","Home Decor",1,Round,"Embroidery Artist",150.00,Approved
68,"Recycled Glass Bowls","Home Decor",4,"Various Sizes","Glass Recyclers",35.00,Pending
69,"Macrame Dream Catcher","Home Decor",1,Large,"Macrame Artist",48.00,Rejected
70,"Hand-Carved Wooden Chess Pieces",Games,1,Intricate,"Wood Carver",85.00,Approved
71,"Woolen Knitted Gloves",Accessories,3,Winter,"Knitting Workshop",25.00,Pending
72,"Hand-Painted Ceramic Wall Plaques","Home Decor",3,Decorative,"Tile Maker",22.00,Rejected
73,"Rattan Basket","Home Decor",2,Small,"Rattan Weaver",18.00,Approved
74,"Handmade Soap","Personal Care",10,Citrus,"Soap Maker",16.00,Pending
75,"Hand-Woven Rug","Home Decor",1,"4x6 ft","Rug Weaver",120.00,Rejected
76,"Terracotta Plant Pots","Home Decor",6,Large,Potter,30.00,Approved
77,"Hand-Carved Wooden Animal Figurines","Decorative Art",5,Various,"Wood Carver",45.00,Pending
78,"Bamboo Wind Chimes",Outdoors,2,Hanging,"Bamboo Craftsman",25.00,Rejected
79,"Hand-Dyed Fabric",Textiles,5,Tie-Dye,"Natural Dyes Workshop",42.00,Approved
80,"Pressed Flower Coasters","Home Decor",6,"Set of 6","Flower Presser",10.00,Pending
81,"Hand-Painted Porcelain Dinnerware Set",Tableware,1,"4 Place Settings","Ceramic Artist",180.00,Rejected
82,"Recycled Tin Can Planters",Outdoors,4,Small,"Upcycled Crafts",12.00,Approved
83,"Hand-Knitted Socks",Accessories,6,Wool,"Knitting Circle",20.00,Pending
84,"Hand-Painted Wooden Puzzles",Games,2,Jigsaw,"Wood Toy Maker",25.00,Rejected
85,"Dried Flower Wreath","Home Decor",1,"Front Door",Florist,38.50,Approved
86,"Hand-Forged Iron Garden Gates",Outdoors,1,Small,Blacksmith,150.00,Pending
87,"Leather-Crafted Journal Cover",Stationery,1,Hand-Tooled,Leatherworker,42.75,Rejected
88,"Hand-Embroidered Pillowcases","Home Decor",2,Silk,"Embroidery Artist",35.00,Approved
89,"Recycled Glass Vases","Home Decor",3,Tall,"Glass Recyclers",28.00,Pending
90,"Macrame Wall Hanging","Home Decor",1,Small,"Macrame Artist",32.50,Rejected
91,"Hand-Carved Wooden Bowls","Home Decor",2,Small,"Wood Carver",20.00,Approved
92,"Woolen Knitted Scarf",Accessories,5,Short,"Fair Trade Workshop",25.00,Pending
93,"Hand-Painted Ceramic Mug",Tableware,6,Decorative,"Pottery Studio",15.00,Rejected
94,"Recycled Glass Jewelry",Accessories,3,Necklaces,"Urban Craft Co.",45.00,Approved
95,"Macrame Plant Hanger","Home Decor",3,Medium,"Etsy Seller",26.00,Pending
96,"Hand-Forged Iron Candlesticks","Home Decor",2,Tall,"Blacksmith Workshop",40.00,Rejected
97,"Leather-Bound Notebook",Stationery,3,Small,"Leather Artisan",30.00,Approved
98,"Hand-Embroidered Cushion Covers","Home Decor",4,"18x18"","Village Cooperative",55.00,Pending
99,"Woven Basket","Home Decor",1,Medium,"Indigenous Community",25.00,Rejected
100,"Hand-Turned Wooden Pencils",Stationery,10,Assorted,Woodworker,12.00,Approved
101,"Copper Teapot",Kitchen,1,1L,"Metal Craftsman",75.00,Pending
102,"Hand-Painted Silk Scarf",Accessories,2,Long,"Silk Painter",68.00,Rejected
103,"Rattan Furniture Set",Outdoors,1,"1 Chair & Table","Rattan Weavers",110.00,Approved
104,"Handmade Soap","Personal Care",10,Citrus,"Soap Maker",15.50,Pending
105,"Hand-Woven Rug","Home Decor",1,"6x9 ft","Rug Weaver",140.00,Rejected
106,"Handwoven Cotton Scarf",Textile,50,"70x180 cm","Artisan Village",25.50,Approved
107,"Carved Wooden Bowl",Woodworking,20,"15 cm diameter","Woodcrafters Inc.",18.75,Pending
108,"Beaded Necklace",Jewelry,100,Adjustable,"Beads & Beyond",32.00,Rejected
109,"Hand-Painted Ceramic Vase",Pottery,30,"20 cm tall","Clay Creations",45.00,Approved
110,"Macrame Wall Hanging",Textile,15,"60x90 cm","Knotty Creations",38.25,Pending
111,"Leather-Embossed Keyring",Leatherwork,50,"5x8 cm","Leatherworks Co.",12.50,Approved
112,"Hand-Painted Wooden Toy Car",Woodworking,25,"15x10 cm","Wooden Wonders",15.00,Pending
113,"Crochet Baby Blanket",Textile,10,"75x100 cm","Cozy Knits",42.75,Approved
114,"Glass Blown Bird",Glassblowing,12,"10 cm tall","Glassworks Studio",55.00,Rejected
115,"Hand-Woven Basket",Basketry,20,"25x30 cm","Basket Weavers",28.00,Approved
116,"Recycled Tire Planter",Upcycled,15,"40 cm diameter","Green Creations",22.50,Pending
117,"Hand-Embroidered Cushion Cover",Textile,30,"40x40 cm","Embroidery Emporium",35.00,Approved
118,"Wooden Chess Set",Woodworking,5,"30x30 cm","Woodcrafters Inc.",85.00,Pending
119,"Hand-Painted Ceramic Mug",Pottery,50,"10 oz","Clay Creations",12.00,Approved
120,"Macrame Plant Hanger",Textile,20,"60 cm long","Knotty Creations",20.75,Rejected
121,"Leather-Tooled Belt",Leatherwork,15,"100 cm long","Leatherworks Co.",45.00,Approved
122,"Hand-Carved Wooden Spoon",Woodworking,50,"25 cm long","Wooden Wonders",8.50,Pending
123,"Crochet Doily",Textile,25,"20 cm diameter","Cozy Knits",10.00,Approved
