product_id,product_name,price,supplier,category,quantity,size
1,"Recycled Glass Jewelry Set",35.50,"Urban Craft Co.",Accessories,3,Various
4,"Leather-Bound Journal",25.30,"Leather Artisan",Stationery,3,Medium
7,"Hand-Turned Wooden Pen",18.95,Woodworker,Stationery,5,Various
10,"Rattan Furniture Set",120.00,"Rattan Weavers",Outdoors,1,"2 Chairs & Table"
13,"Terracotta Flower Pots",20.15,Potter,"Home Decor",6,Small
16,"Hand-Dyed Fabric",35.90,"Natural Dyes Workshop",Textiles,5,"Various Colors"
19,"Recycled Tire Swing",60.10,"Upcycled Crafts",Outdoors,1,"Adult Size"
22,"Dried Flower Arrangement",38.00,Florist,"Home Decor",1,Large
25,"Hand-Embroidered Wall Art",75.15,"Embroidery Artist","Home Decor",1,"Large Floral"
28,"Hand-Carved Wooden Chess Set",120.20,"Wood Carver",Games,1,Intricate
31,"Rattan Chair",80.70,"Rattan Weaver",Furniture,1,Single
34,"Terracotta Flower Pots",25.40,Potter,"Home Decor",6,Medium
37,"Hand-Dyed Fabric",38.15,"Natural Dyes Workshop",Textiles,5,Indigo
40,"Recycled Tire Planter",40.85,"Upcycled Crafts",Outdoors,2,Large
43,"Dried Flower Bouquet",32.10,Florist,"Home Decor",1,Medium
46,"Hand-Embroidered Tablecloth",150.35,"Embroidery Artist","Home Decor",1,Round
49,"Hand-Carved Wooden Chess Pieces",85.85,"Wood Carver",Games,1,Intricate
52,"Rattan Chair",80.00,"Rattan Weaver",Furniture,1,Single
55,"Terracotta Flower Pots",25.00,Potter,"Home Decor",6,Medium
58,"Hand-Dyed Fabric",38.00,"Natural Dyes Workshop",Textiles,5,Indigo
61,"Recycled Tire Planter",40.00,"Upcycled Crafts",Outdoors,2,Large
64,"Dried Flower Bouquet",32.00,Florist,"Home Decor",1,Medium
67,"Hand-Embroidered Tablecloth",150.00,"Embroidery Artist","Home Decor",1,Round
70,"Hand-Carved Wooden Chess Pieces",85.00,"Wood Carver",Games,1,Intricate
73,"Rattan Basket",18.00,"Rattan Weaver","Home Decor",2,Small
